Metric,ROC-AUC,ROC-AUC,G-mean,G-mean,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity,MAA,MAA,Accuracy,Accuracy
Dataset,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test
SVM,,,,,,,,,,,,,,
Mean,0.893,0.861,0.806,0.778,0.215,0.202,0.818,0.773,0.795,0.789,0.806,0.781,0.797,0.788
SD,0.021,0.062,0.026,0.068,0.017,0.035,0.045,0.137,0.012,0.031,0.026,0.068,0.013,0.028
