Metric,ROC-AUC,ROC-AUC,G-mean,G-mean,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity,MAA,MAA,Accuracy,Accuracy
Dataset,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test
SVM,,,,,,,,,,,,,,
Mean,0.891,0.859,0.811,0.772,0.206,0.193,0.849,0.789,0.774,0.772,0.812,0.781,0.779,0.773
SD,0.024,0.055,0.029,0.101,0.025,0.049,0.038,0.198,0.025,0.036,0.029,0.095,0.025,0.032
