,Decrease in mean metric,Ranking
Global_cog,0.02100000000000002,1
Age,0.010000000000000009,2
WMLL,0.0020000000000000018,3
HC,0.0020000000000000018,3
TBV,0.0,5
Edu_yrs,-0.0010000000000000009,6
Diabetes,-0.0010000000000000009,6
EF,-0.0020000000000000018,8
Lacunes,-0.0030000000000000027,9
PSMD,-0.0030000000000000027,9
CMB_bin,-0.0040000000000000036,11
PS,-0.0040000000000000036,11
Sex,-0.0040000000000000036,11
HTN,-0.0040000000000000036,11
Smoking,-0.006000000000000005,15
