Metric,Harrell_C,Harrell_C,Uno_C,Uno_C,IBS,IBS
Dataset,train_valid,test,train_valid,test,train_valid,test
CoxPH,,,,,,
Mean,0.817,0.801,0.821,0.803,0.065,0.071
SD,0.013,0.057,0.012,0.052,0.003,0.008
