Metric,Harrell_C,Harrell_C,Uno_C,Uno_C,IBS,IBS
Dataset,train_valid,test,train_valid,test,train_valid,test
GBT,,,,,,
Mean,0.872,0.842,0.87,0.838,0.054,0.061
SD,0.014,0.053,0.014,0.062,0.003,0.008
