,Decrease in mean metric,Ranking
Global_cog,0.018000000000000016,1
Age,0.014000000000000012,2
HC,0.007000000000000006,3
Sex,0.0050000000000000044,4
CMB_bin,0.0040000000000000036,5
HTN,0.0040000000000000036,5
TBV,0.0030000000000000027,7
PSMD,0.0030000000000000027,7
EF,0.0030000000000000027,7
Diabetes,0.0020000000000000018,10
Smoking,0.0020000000000000018,10
WMLL,0.0010000000000000009,12
Lacunes,0.0,13
PS,-0.0010000000000000009,14
Edu_yrs,-0.0030000000000000027,15
