Metric,ROC-AUC,ROC-AUC,G-mean,G-mean,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity,MAA,MAA,Accuracy,Accuracy
Dataset,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test
SVM,,,,,,,,,,,,,,
Mean,0.894,0.857,0.81,0.766,0.214,0.192,0.833,0.767,0.789,0.776,0.811,0.772,0.792,0.776
SD,0.024,0.052,0.036,0.095,0.023,0.048,0.065,0.167,0.017,0.027,0.036,0.088,0.018,0.03
