Metric,Harrell_C,Harrell_C,Uno_C,Uno_C,IBS,IBS
Dataset,train_valid,test,train_valid,test,train_valid,test
GBT,,,,,,
Mean,0.868,0.844,0.868,0.842,0.055,0.061
SD,0.012,0.046,0.011,0.052,0.003,0.007
