Metric,Harrell_C,Harrell_C,Uno_C,Uno_C,IBS,IBS
Dataset,train_valid,test,train_valid,test,train_valid,test
GBT,,,,,,
Mean,0.831,0.796,0.831,0.796,0.067,0.073
SD,0.012,0.051,0.013,0.049,0.002,0.005
