Metric,ROC-AUC,ROC-AUC,G-mean,G-mean,Precision,Precision,Sensitivity,Sensitivity,Specificity,Specificity,MAA,MAA,Accuracy,Accuracy
Dataset,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test,train_valid,test
SVM,,,,,,,,,,,,,,
Mean,0.888,0.867,0.803,0.768,0.199,0.186,0.838,0.789,0.769,0.762,0.804,0.776,0.773,0.764
SD,0.018,0.047,0.033,0.105,0.02,0.05,0.057,0.198,0.014,0.028,0.034,0.101,0.016,0.03
